$SYS/broker/version,mosquitto version 2.0.18
$SYS/broker/uptime,6875 seconds
$SYS/broker/clients/total,3
$SYS/broker/clients/inactive,0
$SYS/broker/clients/disconnected,0
$SYS/broker/clients/active,3
$SYS/broker/clients/connected,3
$SYS/broker/clients/expired,0
$SYS/broker/clients/maximum,6
$SYS/broker/load/messages/received/1min,182097.84
$SYS/broker/load/messages/received/5min,981590.06
$SYS/broker/load/messages/received/15min,673666.86
$SYS/broker/load/messages/sent/1min,141059.45
$SYS/broker/load/messages/sent/5min,902027.35
$SYS/broker/load/messages/sent/15min,640970.70
$SYS/broker/load/publish/dropped/1min,0.00
$SYS/broker/load/publish/dropped/5min,0.00
$SYS/broker/load/publish/dropped/15min,0.00
$SYS/broker/load/publish/received/1min,182078.27
$SYS/broker/load/publish/received/5min,981522.34
$SYS/broker/load/publish/received/15min,670532.84
$SYS/broker/load/publish/sent/1min,141041.93
$SYS/broker/load/publish/sent/5min,901929.95
$SYS/broker/load/publish/sent/15min,631322.91
$SYS/broker/load/bytes/received/1min,4222828.07
$SYS/broker/load/bytes/received/5min,22872254.81
$SYS/broker/load/bytes/received/15min,15669537.71
$SYS/broker/load/bytes/sent/1min,3278756.75
$SYS/broker/load/bytes/sent/5min,21041573.14
$SYS/broker/load/bytes/sent/15min,14780447.17
$SYS/broker/load/sockets/1min,2.74
$SYS/broker/load/sockets/5min,0.81
$SYS/broker/load/sockets/15min,0.56
$SYS/broker/load/connections/1min,2.74
$SYS/broker/load/connections/5min,0.81
$SYS/broker/load/connections/15min,0.56
$SYS/broker/messages/stored,51
$SYS/broker/messages/received,42336850
$SYS/broker/messages/sent,45558454
$SYS/broker/store/messages/count,51
$SYS/broker/store/messages/bytes,331
$SYS/broker/subscriptions/count,12
$SYS/broker/shared_subscriptions/count,0
$SYS/broker/retained messages/count,51
$SYS/broker/publish/messages/dropped,0
$SYS/broker/publish/messages/received,40322890
$SYS/broker/publish/messages/sent,38568577
$SYS/broker/publish/bytes/received,256056858
$SYS/broker/publish/bytes/sent,245054169
$SYS/broker/bytes/received,959575196
$SYS/broker/bytes/sent,928840391
$SYS/broker/uptime,6886 seconds
$SYS/broker/clients/total,6
$SYS/broker/clients/active,6
$SYS/broker/clients/connected,6
$SYS/broker/load/messages/received/1min,391818.74
$SYS/broker/load/messages/sent/1min,357658.32
$SYS/broker/load/publish/received/1min,391646.21
$SYS/broker/load/publish/sent/1min,357552.36
$SYS/broker/load/bytes/received/1min,8936363.01
$SYS/broker/load/bytes/sent/1min,8152528.51
$SYS/broker/load/sockets/1min,5.02
$SYS/broker/load/connections/1min,5.02
$SYS/broker/load/messages/received/5min,997881.32
$SYS/broker/load/messages/sent/5min,921183.86
$SYS/broker/load/publish/received/5min,997782.47
$SYS/broker/load/publish/sent/5min,921070.34
$SYS/broker/load/bytes/received/5min,23213901.47
$SYS/broker/load/bytes/sent/5min,21449579.56
$SYS/broker/load/sockets/5min,1.37
$SYS/broker/load/connections/5min,1.37
$SYS/broker/load/messages/received/15min,682904.39
$SYS/broker/load/messages/sent/15min,650605.68
$SYS/broker/load/publish/received/15min,679797.11
$SYS/broker/load/publish/sent/15min,641068.47
$SYS/broker/load/bytes/received/15min,15872312.04
$SYS/broker/load/bytes/sent/15min,14994174.03
$SYS/broker/load/sockets/15min,0.75
$SYS/broker/load/connections/15min,0.75
$SYS/broker/store/messages/bytes,332
$SYS/broker/subscriptions/count,26
$SYS/broker/messages/received,42599767
$SYS/broker/messages/sent,45821391
$SYS/broker/publish/messages/received,40585636
$SYS/broker/publish/messages/sent,38831414
$SYS/broker/bytes/received,965508185
$SYS/broker/bytes/sent,934776452
$SYS/broker/publish/bytes/received,257522208
$SYS/broker/publish/bytes/sent,246520036
$SYS/broker/uptime,6897 seconds
$SYS/broker/load/messages/received/1min,646568.14
$SYS/broker/load/messages/sent/1min,618129.91
$SYS/broker/load/publish/received/1min,646424.51
$SYS/broker/load/publish/sent/1min,618041.70
$SYS/broker/load/bytes/received/1min,14808240.84
$SYS/broker/load/bytes/sent/1min,14155705.97
$SYS/broker/load/sockets/1min,4.18
$SYS/broker/load/connections/1min,4.18
$SYS/broker/load/messages/received/5min,1030814.48
$SYS/broker/load/messages/sent/5min,956878.32
$SYS/broker/load/publish/received/5min,1030719.18
$SYS/broker/load/publish/sent/5min,956768.89
$SYS/broker/load/bytes/received/5min,23961908.62
$SYS/broker/load/bytes/sent/5min,22261106.86
$SYS/broker/load/sockets/5min,1.32
$SYS/broker/load/connections/5min,1.32
$SYS/broker/load/messages/received/15min,697842.84
$SYS/broker/load/messages/sent/15min,665936.48
$SYS/broker/load/publish/received/15min,694773.30
$SYS/broker/load/publish/sent/15min,656515.13
$SYS/broker/load/bytes/received/15min,16213885.73
$SYS/broker/load/bytes/sent/15min,15346415.20
$SYS/broker/messages/stored,74
$SYS/broker/store/messages/count,74
$SYS/broker/store/messages/bytes,536
$SYS/broker/messages/received,42950415
$SYS/broker/messages/sent,46172039
$SYS/broker/publish/messages/received,40936284
$SYS/broker/publish/messages/sent,39182062
$SYS/broker/bytes/received,973573089
$SYS/broker/bytes/sent,942841356
$SYS/broker/publish/bytes/received,259626096
$SYS/broker/publish/bytes/sent,248623924
$SYS/broker/uptime,6908 seconds
$SYS/broker/load/messages/received/1min,863339.15
$SYS/broker/load/messages/sent/1min,839664.59
$SYS/broker/load/publish/received/1min,863219.58
$SYS/broker/load/publish/sent/1min,839591.16
$SYS/broker/load/bytes/received/1min,19804498.12
$SYS/broker/load/bytes/sent/1min,19261268.97
$SYS/broker/load/sockets/1min,3.48
$SYS/broker/load/connections/1min,3.48
$SYS/broker/load/messages/received/5min,1063570.94
$SYS/broker/load/messages/sent/5min,992296.68
$SYS/broker/load/publish/received/5min,1063479.07
$SYS/broker/load/publish/sent/5min,992191.18
$SYS/broker/load/bytes/received/5min,24706192.31
$SYS/broker/load/bytes/sent/5min,23066623.82
$SYS/broker/load/sockets/5min,1.27
$SYS/broker/load/connections/5min,1.27
$SYS/broker/load/messages/received/15min,712940.26
$SYS/broker/load/messages/sent/15min,681421.50
$SYS/broker/load/publish/received/15min,709908.02
$SYS/broker/load/publish/sent/15min,672114.60
$SYS/broker/load/bytes/received/15min,16559140.36
$SYS/broker/load/bytes/sent/15min,15702207.72
$SYS/broker/messages/stored,106
$SYS/broker/store/messages/count,106
$SYS/broker/store/messages/bytes,817
$SYS/broker/messages/received,43306201
$SYS/broker/messages/sent,46527825
$SYS/broker/publish/messages/received,41292070
$SYS/broker/publish/messages/sent,39537848
$SYS/broker/bytes/received,981756167
$SYS/broker/bytes/sent,951024434
$SYS/broker/publish/bytes/received,261760812
$SYS/broker/publish/bytes/sent,250758640
$SYS/broker/uptime,6919 seconds
$SYS/broker/load/messages/received/1min,1046196.50
$SYS/broker/load/messages/sent/1min,1026487.65
$SYS/broker/load/publish/received/1min,1046096.96
$SYS/broker/load/publish/sent/1min,1026426.52
$SYS/broker/load/bytes/received/1min,24318289.53
$SYS/broker/load/bytes/sent/1min,23866056.36
$SYS/broker/load/sockets/1min,2.90
$SYS/broker/load/connections/1min,2.90
$SYS/broker/load/messages/received/5min,1095663.38
$SYS/broker/load/messages/sent/5min,1026955.18
$SYS/broker/load/publish/received/5min,1095574.82
$SYS/broker/load/publish/sent/5min,1026853.48
$SYS/broker/load/bytes/received/5min,25499862.26
$SYS/broker/load/bytes/sent/5min,23919322.47
$SYS/broker/load/sockets/5min,1.23
$SYS/broker/load/connections/5min,1.23
$SYS/broker/load/messages/received/15min,728028.16
$SYS/broker/load/messages/sent/15min,696892.28
$SYS/broker/load/publish/received/15min,725032.75
$SYS/broker/load/publish/sent/15min,687698.43
$SYS/broker/load/bytes/received/15min,16925906.03
$SYS/broker/load/bytes/sent/15min,16079383.25
$SYS/broker/messages/stored,140
$SYS/broker/store/messages/count,140
$SYS/broker/store/messages/bytes,1104
$SYS/broker/messages/received,43664611
$SYS/broker/messages/sent,46886235
$SYS/broker/publish/messages/received,41650480
$SYS/broker/publish/messages/sent,39896258
$SYS/broker/bytes/received,990327183
$SYS/broker/bytes/sent,959595450
$SYS/broker/publish/bytes/received,264238858
$SYS/broker/publish/bytes/sent,253236686
$SYS/broker/uptime,6930 seconds
$SYS/broker/load/messages/received/1min,1237742.24
$SYS/broker/load/messages/sent/1min,1221334.81
$SYS/broker/load/publish/received/1min,1237659.38
$SYS/broker/load/publish/sent/1min,1221283.92
$SYS/broker/load/bytes/received/1min,29047791.23
$SYS/broker/load/bytes/sent/1min,28671311.36
$SYS/broker/load/sockets/1min,2.41
$SYS/broker/load/connections/1min,2.41
$SYS/broker/load/messages/received/5min,1135051.14
$SYS/broker/load/messages/sent/5min,1068816.61
$SYS/broker/load/publish/received/5min,1134965.77
$SYS/broker/load/publish/sent/5min,1068718.57
$SYS/broker/load/bytes/received/5min,26473828.55
$SYS/broker/load/bytes/sent/5min,24950192.28
$SYS/broker/load/sockets/5min,1.18
$SYS/broker/load/connections/5min,1.18
$SYS/broker/load/messages/received/15min,745784.17
$SYS/broker/load/messages/sent/15min,715026.53
$SYS/broker/load/publish/received/15min,742825.15
$SYS/broker/load/publish/sent/15min,705944.37
$SYS/broker/load/bytes/received/15min,17358692.45
$SYS/broker/load/bytes/sent/15min,16522453.09
$SYS/broker/messages/stored,174
$SYS/broker/store/messages/count,174
$SYS/broker/store/messages/bytes,1392
$SYS/broker/messages/received,44066054
$SYS/broker/messages/sent,47287678
$SYS/broker/publish/messages/received,42051923
$SYS/broker/publish/messages/sent,40297701
$SYS/broker/bytes/received,999961815
$SYS/broker/bytes/sent,969230082
$SYS/broker/publish/bytes/received,267048959
$SYS/broker/publish/bytes/sent,256046787
$SYS/broker/uptime,6941 seconds
$SYS/broker/load/messages/received/1min,1411682.40
$SYS/broker/load/messages/sent/1min,1398023.37
$SYS/broker/load/publish/received/1min,1411609.76
$SYS/broker/load/publish/sent/1min,1397977.34
$SYS/broker/load/bytes/received/1min,33332499.48
$SYS/broker/load/bytes/sent/1min,33019083.52
$SYS/broker/load/sockets/1min,2.01
$SYS/broker/load/connections/1min,2.01
$SYS/broker/load/messages/received/5min,1176133.03
$SYS/broker/load/messages/sent/5min,1112283.11
$SYS/broker/load/publish/received/5min,1176049.94
$SYS/broker/load/publish/sent/5min,1112187.82
$SYS/broker/load/bytes/received/5min,27487404.91
$SYS/broker/load/bytes/sent/5min,26018623.49
$SYS/broker/load/sockets/5min,1.14
$SYS/broker/load/connections/5min,1.14
$SYS/broker/load/messages/received/15min,764374.59
$SYS/broker/load/messages/sent/15min,733990.59
$SYS/broker/load/publish/received/15min,761451.25
$SYS/broker/load/publish/sent/15min,725018.49
$SYS/broker/load/bytes/received/15min,17811418.09
$SYS/broker/load/bytes/sent/15min,16985337.23
$SYS/broker/messages/stored,208
$SYS/broker/store/messages/count,208
$SYS/broker/store/messages/bytes,1680
$SYS/broker/messages/received,44483345
$SYS/broker/messages/sent,47704969
$SYS/broker/publish/messages/received,42469210
$SYS/broker/publish/messages/sent,40714988
$SYS/broker/bytes/received,1009976711
$SYS/broker/bytes/sent,979244978
$SYS/broker/publish/bytes/received,269969968
$SYS/broker/publish/bytes/sent,258967796
$SYS/broker/uptime,6952 seconds
$SYS/broker/load/messages/received/1min,1539454.81
$SYS/broker/load/messages/sent/1min,1528066.43
$SYS/broker/load/publish/received/1min,1538953.02
$SYS/broker/load/publish/sent/1min,1527799.70
$SYS/broker/load/bytes/received/1min,36078367.96
$SYS/broker/load/bytes/sent/1min,35825151.76
$SYS/broker/load/sockets/1min,1.67
$SYS/broker/load/connections/1min,1.67
$SYS/broker/load/messages/received/5min,1212075.38
$SYS/broker/load/messages/sent/5min,1150520.49
$SYS/broker/load/publish/received/5min,1211900.44
$SYS/broker/load/publish/sent/5min,1150379.53
$SYS/broker/load/bytes/received/5min,28288009.55
$SYS/broker/load/bytes/sent/5min,26873762.93
$SYS/broker/load/sockets/5min,1.10
$SYS/broker/load/connections/5min,1.10
$SYS/broker/load/messages/received/15min,781504.08
$SYS/broker/load/messages/sent/15min,751487.92
$SYS/broker/load/publish/received/15min,778584.24
$SYS/broker/load/publish/sent/15min,742608.24
$SYS/broker/load/bytes/received/15min,18199096.88
